,Tweet,corpus
60,"Buenos días, aún llorando por el momento en el que Miss USA nos robó en el Miss Universo

 https://t.co/J3jJUx7V8A",buenos n llorando por el momento en el que miss usa no rob en el miss universo http co j jjux v
61,"Them say she no dey deserve
What didn't she do well??",say dey deserve well
62,Definitivamente Twitter tiene que poner la opción de no like,definitivamente twitter tiene que poner la opci n de like
63,"Top 2 com os dois países que mais acumulam vitórias no Miss Universo

EUA têm 9 coroas, enquanto Venezuela 7. A última vitória dos EUA tinha sido em 2012, e da Venezuela em 2013…

O Miss Universo 2023 vai acontecer em El Salvador, até dezembro",top com o doi pa s que mais acumulam vit rias miss universo eua coroas enquanto venezuela ltima vit ria do eua tinha sido em e da venezuela em miss universo vai acontecer em el salvador dezembro
64,Soy Kosovo,soy kosovo
65,🇻🇪🥇🇻🇪💪👏👏👏🇻🇪🇻🇪👏👏👏🍷🍷🍾,
66,y esa vaina la cortaron de una vez aparte esa chama más guevo sin sal ni feliz se ve,esa vaina la cortaron de una vez aparte esa chama guevo sin sal ni feliz se
67,"3,5 milhões de views até agora

Um único tweet do compilado da abertura de 2018 em que viralizou devido a forma de apresentação da francesa tem só aqui 47 mi de views 

Em nenhum momento o concurso se moveu pra pegar o hype e aproveitar pra divulgar transmissão sua final ontem…",milh e de view agora um nico tweet compilado da abertura de em que viralizou devido forma de apresenta da francesa tem aqui mi de view em nenhum momento concurso se moveu pra pegar hype e aproveitar pra divulgar transmiss sua final ontem
68,siempre robándole a latam este certamen re mil culiado,siempre rob ndole latam este certamen mil culiado
69,Me dormí confiada en que ganó Venezuela y robaron en la mesa electoral......que va la nuestra es una belleza. ¡Trampa!,dorm confiada en que gan venezuela robaron en la mesa electoral que va la nuestra e una belleza trampa
70,Mas linda es La #Venezolana @MissUniverse,ma linda e la venezolana missuniverse
71,Misericórdia! Urna eletrônica no miss universo agora!!!,miseric rdia urna eletr nica miss universo agora
72,"Alto robo OK, pero no sería la primera vez",alto robo ok pero ser la primera vez
73,estoy arrecha no me hable nojoda q es esta mierda,estoy arrecha hable nojoda q e esta mierda
74,"Dejando de lado el robo, que risa que no se emociono hasta que lit le pusieron la corona porque con esos anunciadores ya nunca se sabe",dejando de lado el robo que risa que se emociono hasta que lit le pusieron la corona porque con esos anunciadores ya nunca se sabe
75,"Half Pinay, let’s gooooo! 🇵🇭",half pinay let gooooo
76,Y en los eventos más comprados de este 2023 tenemos a... ¡USA robándole la corona de Miss Universe a VenezuelaGOD!,en los eventos comprados de este tenemos usa rob ndole la corona de miss universe venezuelagod
77,Naaaaa!🤦‍♂️,naaaaa
78,Que cagada,que cagada
79,Jadi USA yg menang.... congratsss,jadi usa yg menang congratsss
80,Un coñazo duele menos 😔🥺,un co azo duele menos
81,"El robo del siglo bueno EE.UU está acostumbrado a eso a robar ...
Venezuela 🇻🇪 eres grande",el robo del siglo bueno ee uu est acostumbrado eso robar venezuela eres grande
82,el robo del año,el robo del
83,Sério isso??? Rep Dominicana Venezuela e Colômbia ----------&gt; EUA,rio isso rep dominicana venezuela e col mbia gt eua
84,??????,
85,"Es tema de ayer, pero me salió el vídeo y podremos hablar de la cara de España y Kosovo 😳😅 ... Representando jajajaj",e tema de ayer pero sali el v deo podremos hablar de la cara de espa kosovo representando jajajaj
86,La forma en que ni India le dió el abrazo a la nueva Miss Universo 🫣,la forma en que ni india le di el abrazo la nueva miss universo
87,"De los mismos creadores del Casio de Shakira,un nuevo tema para la agenda chavista: “USA nos roba el Miss Universo”.El poder de distracción ante los problemas de los venezolanos: devaluación,docentes en la indigencia, crisis hospitalaria, inseguridad, etc. https://t.co/90UavdrRUl",de los mismos creadores del casio de shakira un nuevo tema para la agenda chavista usa no roba el miss universo el poder de distracci n ante los problemas de los venezolanos devaluaci n docentes en la indigencia crisis hospitalaria inseguridad etc http co uavdrrul
88,Wtf,wtf
89,cómo aplaude españa y la cara de la miss universo anterior al poner la corona.......  I just.....,c mo aplaude espa la cara de la miss universo anterior al poner la corona
90,"Otra vez este show robándole el premio a las latinas, increíble.",otra vez este show rob ndole el premio la latinas incre ble
91,🇻🇪👀💯,
92,Venezuela esta pasando exactamente lo que nos paso a nosotros en el 2022💔,venezuela esta pasando exactamente lo que no paso nosotros en el
93,Todas quedaron tipo: ª,toda quedaron tipo
94,Mi pregunta es. Primero no se nombraba a la primera finalista y al final uno daba por entendido que la otra ganaba. No se si toda mi vida he vivido engañado,mi pregunta e primero se nombraba la primera finalista al final uno daba por entendido que la otra ganaba se si toda mi vida vivido enga ado
95,💐,
96,"Le dieron la corona a la que le salió de las bolas al dueño del concurso, literalmente.",le dieron la corona la que le sali de la bola al due del concurso literalmente
97,Fraude🤯,fraude
98,"Marmelada das grandes, a venezuelana mil vezes mais bonita que a americana",marmelada da grandes venezuelana mil vezes mais bonita que americana
99,Chiamaaa 😱,chiamaaa
100,La cara de Kosovo y España nos representa 🤡,la cara de kosovo espa no representa
101,Not #Ukraine? Bribes must have been involved.,ukraine bribe must involved
102,"Madre estafa 🙄

 https://t.co/fOhF8I4Cjt",madre estafa http co fohf cjt
103,"in the face of Haiti, DR, Puerto Rico andnNigeria? Literally any of the European women? PHILIPPINES AND VENEZUELA?",face haiti dr puerto rico andnnigeria literally european woman philippine venezuela
104,Duela a quien le duela tercermundista o no ganó #USA,duela quien le duela tercermundista gan usa
105,https://t.co/IXuci8siUI,http co ixuci siui
106,Única manera que Venezuela y EEUU se lleven bien 🤣🤣🤣🤣en un Concurso de Belleza,nica manera que venezuela eeuu se lleven bien en un concurso de belleza
107,Thief,thief
108,nojoda chico,nojoda chico
109,Solo ustedes creen que ella ganó.  Ganó República Dominicana y todo el mundo lo sabe menos ustedes !,solo ustedes creen que ella gan gan rep blica dominicana todo el mundo lo sabe menos ustedes
110,🇵🇭🇺🇸🇵🇭🇺🇸🇵🇭🇺🇸🇵🇭🇺🇸,
111,Yo también tenía los ojos cerraditos. :(,yo tambi n ten los ojos cerraditos
112,"Felicidades @AmandadudameI, eres nuestra #MissUniverse2022.

Bella, inteligente, talentosa, humilde, trabajadora. Digna representante de la mujer venezolana.

Es un ORGULLO que hayas llegado hasta allí. ¡Triunfaste! 🇻🇪",felicidades amandadudamei eres nuestra missuniverse bella inteligente talentosa humilde trabajadora digna representante de la mujer venezolana e un orgullo que hayas llegado hasta triunfaste
113,Que momento mas forzado ni la gringa se lo cree hehehehehe ni la miss university anterior lo cree!,que momento ma forzado ni la gringa se lo cree hehehehehe ni la miss university anterior lo cree
114,"Τι USA ρε άσχετοι, πού είναι το ξανθό μωράκι του ουρανού η Κολομβιανή;",usa
115,"Que arrecho, por cierto, cómo ganó la feita, hasta había gente atrás más bonita.",que arrecho por cierto c mo gan la feita hasta hab gente atr bonita
116,Ni ella se lo creía,ni ella se lo cre
117,How well would American and other Earth women do if contestants from other planets were in the Miss Universe competition?,well would american earth woman contestant planet miss universe competition
118,"Deus me livre torcer pra estadunidense, entre as 3 eu tava torcendo pela Dominicana e jurando q ia levar. Mas falar que as respostas da Venezuela foram boas , em comparação as outras duas,  é forçar muito a barra viu",deus livre torcer pra estadunidense entre eu tava torcendo pela dominicana e jurando q ia levar ma falar que respostas da venezuela foram boa em compara outras duas ar muito barra viu
119,Una cagada anoche,una cagada anoche
120,👹👹👹👹👹👹,
121,que funcion cumple este tipo de evento??,que funcion cumple este tipo de evento
122,"Ni ella se lo creía, voy a creer yo! Clase robo a la de Venezuela",ni ella se lo cre voy creer yo clase robo la de venezuela
123,ella quedó tipo: ?????????,ella qued tipo
124,Una china cualquiera!,una china cualquiera
125,Ahora con más razón hay que llenarle el país de venecos.,ahora con raz n hay que llenarle el pa de venecos
126,Everything na scam,everything na scam
127,O no se la creía o ya sabía que iba a ganar,se la cre ya sab que iba ganar
128,"El robo del siglo:preguntenle a 10 gringos quitandoles la banda...quien fue la mejor la mas hermosa o quien debió ganar y te diran que fue Amanda Dudamel Miss Venezuela....sera que Tibisay encabezaba el jurado o q la Organiz.Miss Universe tambien votaban los estilist,maquill,etc",el robo del siglo preguntenle gringo quitandoles la banda quien fue la mejor la ma hermosa quien debi ganar te diran que fue amanda dudamel miss venezuela serum que tibisay encabezaba el jurado q la organiz miss universe tambien votaban los estilist maquill etc
129,"Habíamos vivido fraudes, pero este dolió más https://t.co/vtYnCtEpYZ",hab amos vivido fraudes pero este doli http co vtynctepyz
130,"Isso aqui foi mais que roubado
Tem nem condições",isso aqui foi mais que roubado tem nem condi e
131,"These are great women with incredible intellect and humanity underneath their pretty faces.The majority of them are educated.When we are constantly bombarded by bad news,events like this are something to celebrate. My vote would go to Canada &amp; China,but all of them are beautiful!",great woman incredible intellect humanity underneath pretty face majority educated constantly bombarded bad news event like something celebrate vote would go canada amp china beautiful
132,really? they repeat the lousy choice of olivia culpo she is her twin! whatever! #MissUniverse2022 #Venezuela,really repeat lousy choice olivia culpo twin whatever missuniverse venezuela
133,miss españa d fondo ajdkajdkaj YO,miss espa fondo ajdkajdkaj yo
134,"Miss USA is the Miss Universe 2022
 https://t.co/miETvPa8Jr",miss usa miss universe http co mietvpa jr
135,hummm,hummm
136,#VEA la reacción de la verdadera ganadora del #MissUniverse2023 #MissUniverse #AmandaDudamel https://t.co/1AL95mGvuf,vea la reacci n de la verdadera ganadora del missuniverse missuniverse amandadudamel http co al mgvuf
137,"Congratulations to Miss Texas USA/Miss USA R’Bonney Gabriel for becoming the FIRST FILIPINA AMERICAN to be crowned Miss Universe.

Previous Miss Universe winners Gloria Diaz (1969), Margarita Moran (1973), Pia Wurtzbach (2015) and Catriona Gray (2018) - were Miss Philippines.",congratulation miss texas usa miss usa r bonney gabriel becoming first filipina american crowned miss universe previous miss universe winner gloria diaz margarita moran pia wurtzbach catriona gray miss philippine
138,Cambiaron un Rolex por un Casio😐,cambiaron un rolex por un casio
139,อ่อจ้าากับกองแม่มาก😶,
140,Como va a ser miss universo estados unidos y esa venezolana parece un ángel caído del cielo,como va ser miss universo estados unidos esa venezolana parece un ngel ca del cielo
141,Chamo nos robaron la corona 😠😤 esa jeva gringa hasta feita es...🤣🤣,chamo no robaron la corona esa jeva gringa hasta feita e
142,venezuela robada a mano armada,venezuela robada mano armada
143,Alguien puede creer que con ese desastroso desfile la candidata de EEUU le haya ganado a la venezolana ???  ( Algo huele mal en Dinamarca…)  https://t.co/5DQ6D2NSrJ,alguien puede creer que con ese desastroso desfile la candidata de eeuu le haya ganado la venezolana algo huele mal en dinamarca http co dq nsrj
144,Concurso corrupto https://t.co/UHwvb5701C,concurso corrupto http co uhwvb c
145,"Tenía años sin ver el concurso. Ayer lo hice; Amanda Dudamel es bella, inteligente, creativa, elegante. Yo también quería que ganara, lo merecía. No conozco los criterios del jurado pero celebro 🎉que una venezolana sea la #1raFinalista del #MissUniverso https://t.co/uP8zFTnjad",ten o sin ver el concurso ayer lo hice amanda dudamel e bella inteligente creativa elegante yo tambi n quer que ganara lo merec conozco los criterios del jurado pero celebro que una venezolana sea la rafinalista del missuniverso http co zftnjad
146,"So can we talk about the fact that Venezuela was the runner up though? I don't even watch this shit, but I will rep for mine whenever I can 🙌🏾🇻🇪💕",talk fact venezuela runner though even watch shit rep mine whenever
147,https://t.co/r9JxFc93tO,http co r jxfc
148,Miss Universe y solo participan de la Vía Láctea.,miss universe solo participan de la v l ctea
149,"La cantidad de respuestas en apoyo a Venezuela y la palabra fraude por todos lados en este tweet.

Todo mal Miss Universo.",la cantidad de respuestas en apoyo venezuela la palabra fraude por todos lados en este tweet todo mal miss universo
150,Pero la  mejor  era  la  VENEZOLANA.,pero la mejor era la venezolana
