,Tweet,corpus
348,beri chill manalo si madam,beri chill manalo si madam
349,"Uyy nanalo pala bet ko 🤗. Congrats, Ms. USA 🇺🇸. FilAm Pride.",uyy nanalo pala bet ko congrats m usa filam pride
350,"Qué regia Amanda cuando la cámara da vuelvas, parece una Diosa 🤗.",qu regia amanda cuando la c mara da vuelvas parece una diosa
351,En 2023 no podemos seguir calificando a las mujeres por su “belleza” en un evento global como si ser un adorno fuera su función y su mayor mérito. Los concursos de belleza como los circos y los zoológicos son una reliquia del siglo XX que debe desaparecer. https://t.co/6pbeG8Ceym,en podemos seguir calificando la mujeres por su belleza en un evento global como si ser un adorno fuera su funci n su mayor rito los concursos de belleza como los circos los zool gicos son una reliquia del siglo xx que debe desaparecer http co pbeg ceym
352,Well deserved #MissUniverse2022 🇵🇭🇺🇸👑,well deserved missuniverse
353,"Congrats, R'Bonney!",congrats r bonney
354,"Periodico en Twitter Por Héctor Moreno @MissUniverse: 'The new Miss Universe is USA!!! #MISSUNIVERSE ' https://t.co/1k7kCIxXOv, see more https://t.co/kezf6B75Lz",periodico en twitter por h ctor moreno missuniverse new miss universe usa missuniverse http co k kcixxov see http co kezf b lz
355,Nadie la abrazo 🤗... debe ser una nueva regla del certamen!,nadie la abrazo debe ser una nueva regla del certamen
356,Alto robo,alto robo
357,can't wait to see her in Kebaya soon in Jakarta,wait see kebaya soon jakarta
358,Definitivamente soy miss Kosovo,definitivamente soy miss kosovo
359,A Venezuela hasta le roban las elecciones de concursos internacionales xd.,venezuela hasta le roban la elecciones de concursos internacionales xd
360,ROBBERY https://t.co/4O9YRhr6Hs,robbery http co yrhr h
361,Congratulations Miss USA. Well deserved Queen 👑👑👑👑👑,congratulation miss usa well deserved queen
362,Ladrones se mierda!!,ladrones se mierda
363,"encabezado: @MissUniverse: 'The new Miss Universe is USA!!! #MISSUNIVERSE ' https://t.co/v13lCFNxEP, see more https://t.co/j0XX2OEOdZ",encabezado missuniverse new miss universe usa missuniverse http co v lcfnxep see http co j xx oeodz
364,"NAH KAAAAAANNNN
👑🇺🇸",nah kaaaaaannnn
365,OH EM GEE la escaldasa quedó de #MissUniverse,oh em gee la escaldasa qued de missuniverse
366,"Congratulations, Ms. USA! #71stMissUniverse",congratulation m usa stmissuniverse
367,https://t.co/LmHGbWPzU6,http co lmhgbwpzu
368,"Miss Universe is from Houston, Texas because of course she is. 
Got em.",miss universe houston texas course got em
369,Congrats Miss USA !!,congrats miss usa
370,CONGRATS MS USA ! 🤍THE NEW MISS UNIVERSE! SHOCKS GANDARA MO MADAM 😭💗,congrats m usa new miss universe shock gandara mo madam
371,U-S-A!! 🇺🇸 Congratulations R'Bonney! @MissUSA,u congratulation r bonney missusa
372,CASIO GANA USA 🔐 #MissUniverse2023,casio gana usa missuniverse
373,Campeona,campeona
374,"espera

deveras hay un miss universe?",espera deveras hay un miss universe
375,Fraude total...,fraude total
376,aaahhhh!!!!!! 😍😍😍 🇵🇭🇺🇸,aaahhhh
377,Ni la mismísima Estados Unidos se creía que ella había ganado... Semejante fraude el Miss Universo de éste año...,ni la mism sima estados unidos se cre que ella hab ganado semejante fraude el miss universo de ste
378,CELESTE PA RIN WINNER FOR ME 🏆🇵🇭❤️,celeste pa rin winner
379,"4.5 crown for the Philippines kimmy
#MissUniverse",crown philippine kimmy missuniverse
380,Congratulations to USA.. Well deserved and much love.,congratulation usa well deserved much love
381,Kamukha ni Miss USA si Doris dun sa teleserye ng gma na Nakarehas na Puso. She looks like a Filipino talaga.,kamukha ni miss usa si doris dun sa teleserye ng gma na nakarehas na puso look like filipino talaga
382,Yung buhok pa lang ni Miss USA alam mo nang lalagyan ng Crown eehh. Congratsss 👏👏👏👏,yung buhok pa lang ni miss usa alam mo nang lalagyan ng crown eehh congratsss
383,NOOOOOOOOOO,noooooooooo
384,"Congratulations to this year's Miss Universe, Miss USA. She also a Fil-Am so I'm proud and happy for her!👑🇵🇭🇺🇲",congratulation year miss universe miss usa also fil proud happy
385,MALDITA SEA,maldita sea
386,Ew,ew
387,👏👏,
388,Nice.,nice
389,Congratulations to our (filipina-american) miss usa,congratulation filipina american miss usa
390,analizando esto nadie se movió para felicitarla xd  https://t.co/gAYsjTznf1,analizando esto nadie se movi para felicitarla xd http co gaysjtznf
391,HORRIBLE 😱😡 @MissUniverse #MissUniverse,horrible missuniverse missuniverse
392,"Hay detalles muy extraños. 

Ninguna del resto de las participantes se acercaron a felicitarlas. Amanda desaparece cuando intenta felicitar a Miss USA y digo desaparece porque al final de la toma solo se ve Miss RD con su ramo y Amanda no está por ningún lado. Esto me hace ruido.",hay detalles muy extra o ninguna del resto de la participantes se acercaron felicitarlas amanda desaparece cuando intenta felicitar miss usa digo desaparece porque al final de la toma solo se miss rd con su ramo amanda est por ning n lado esto hace ruido
393,Estuvimos cerca 💛💙💔,estuvimos cerca
394,https://t.co/6EWdjlfrq4,http co ewdjlfrq
395,CONGRATS USAA,congrats usaa
396,"Kagabi nanunod palang kami prelims, ngayon na pala coronation 😅 di na updated ang ante mo 🤣 anyway, Congrats Ms. USA 💐👑",kagabi nanunod palang kami prelim ngayon na pala coronation di na updated ang ante mo anyway congrats m usa
397,"Miss USA is the Miss Universe👑
Congrats USA🎉🎉
R'Bonney Gabriel is a Filipino-American🇵🇭🇺🇸

#MissUniverse2022",miss usa miss universe congrats usa r bonney gabriel filipino american missuniverse
398,El autopremio entonces lol,el autopremio entonces lol
399,rolo d robo,rolo robo
400,congrats miss,congrats miss
401,otro miss universo robado pq les arde q venezuela tenga tantas victorias en esa vaina!!!!,otro miss universo robado pq le arde q venezuela tenga tantas victoria en esa vaina
402,Roboo,roboo
403,Y porque mejor no se van a mamar una grandísimo guebon malditos ladrones?,porque mejor se van mamar una grand simo guebon malditos ladrones
404,El país local del @MissUniverse no debe tener jueces representantes del mismo país. Como regla. @MissUniversoOrg lo de hoy una vergüenza.,el pa local del missuniverse debe tener jueces representantes del mismo pa como regla missuniversoorg lo de hoy una verg enza
405,Estamos todos de acuerdo con que la corona era para Venezuela? ES DE VENEZUELA ESA CORONA!,estamos todos de acuerdo con que la corona era para venezuela e de venezuela esa corona
406,". @elonmusk , offer her a trip to Mars.  https://t.co/dXT0v5AfY8",elonmusk offer trip mar http co dxt v afy
407,Hizo falta el gran Steve Harvey en ese momento cumbre.,hizo falta el gran steve harvey en ese momento cumbre
408,"Ustedes son mas ladrones que Marketplace  
Desvergonzados!!!
😤😤😤",ustedes son ma ladrones que marketplace desvergonzados
409,Look how Miss USA was about to Congratulate Miss Venezuela...,look miss usa congratulate miss venezuela
410,"España fue tipo ""Bueh, que coño. Vamos a aplaudir"".

Korea ""Ya va. ¿No ganó Venezuela? ¿En serio? 😱 ""

Kosovo: ""¿USA? ¿Con esa respuesta nefasta? ¿Cómo no va a ganar Venezuela? ¿Really? ¿Están ciegos o qué? ¡Esta vaina la compraron! 😒""",espa fue tipo bueh que co vamos aplaudir korea ya va gan venezuela en serio kosovo usa con esa respuesta nefasta c mo va ganar venezuela really est n ciegos qu esta vaina la compraron
411,The game is rigged,game rigged
412,panalo pa rin ang pilipinas 😭 go fil-am kween hahahahahah,panalo pa rin ang pilipinas go fil kween hahahahahah
413,Me siento estafado...,siento estafado
414,TANKED DOMINICAN REPUBLIC DESERVED,tanked dominican republic deserved
415,ลบ,
416,Pero que fraude más grande.,pero que fraude grande
417,Después que asimiló que no perdió,despu que asimil que perdi
418,https://t.co/VoK4czcqik,http co vok czcqik
419,"Yo sé que el vestido sí está fatal y que hay mucho hate, pero le veo una sonrisa y mirada tierna y sencilla a Miss USA, no sé 🥹",yo que el vestido est fatal que hay mucho hate pero le veo una sonrisa mirada tierna sencilla miss usa
420,Lolol. What a joke https://t.co/ZqnKAx5Qg9,lolol joke http co zqnkax qg
421,"Well, well, well...",well well well
422,filos we didn't lose! We won!!!,filos lose
423,I was sad until I saw this but ab mera dukh badh gaya🙂🫧,sad saw ab mera dukh badh gaya
424,"Ni ell a se lo cree que ganó, eso estuvo comprado.",ni ell se lo cree que gan eso estuvo comprado
425,"Miss USA is half Filipino, so proud Pinoy pa din! 😂 

#MissUniverse2023",miss usa half filipino proud pinoy pa din missuniverse
426,https://t.co/8oSACoLHKR,http co osacolhkr
427,Soy España,soy espa
428,Todos están de acuerdo en que Venezuela se merecía esa corona,todos est n de acuerdo en que venezuela se merec esa corona
429,La reacción de KOSOVO,la reacci n de kosovo
430,THE ROBBERY. #MissUniverse2022 #MissUniverso,robbery missuniverse missuniverso
431,"la reacción de España, Korea y Kosovo cuando dicen que ganó USA dicen muchísimo",la reacci n de espa korea kosovo cuando dicen que gan usa dicen much simo
432,"เชียร์ เวเน ถึงจะไม่ 👑 แต่ก็สมศักดิ์ศรีและขอ Congratulations 🎉 Miss USA ด้วยนะคะ 🥳☺️ USA Is Universe 🥰
#MissUniverse2023",congratulation miss usa usa universe missuniverse
433,F R A U D E,f r u e
434,"Cuando llevam ese peinado recogido y la bola atrás listo para la corona, ya sabes  que ya saben",cuando llevam ese peinado recogido la bola atr listo para la corona ya sabes que ya saben
435,Congratulations first filipina American miss universe,congratulation first filipina american miss universe
436,"A win for Filipino Americans ! 👑 🇺🇸🇵🇭 
We half won Congratulations R’Bonney Gabriel ! 👏 

#missuniverse2022 #71stMissUniverse #MissUniverse2023 #MissUniverseUSA 

 https://t.co/9uwSVUONlA",win filipino american half congratulation r bonney gabriel missuniverse stmissuniverse missuniverse missuniverseusa http co uwsvuonla
437,"Please stop the hate because your bet didn't win... isn't she deserves it...all of them does... I'm also sad for #MissPhilippines didn't make it even to top 16 but please don't steal her moment....Anyways, congratulations #MissUSA 💗🖤🥰💋💯",please stop hate bet win deserves also sad missphilippines make even top please steal moment anyways congratulation missusa
438,MIMA LOVE YOU !😭💗,mima love
439,🥺🥺🥺 que estafa...,que estafa
440,"Robadas, pero mal. 🤡",robadas pero mal
441,Terrible robo JAJAJA,terrible robo jajaja
442,I guess 😒,guess
443,อีดอก ชุดเวเนสวย สวยเเบบ อยากดิ้นตาย สวยเเบบมงเถอะ ชุดส่งมากกก เเต่....,
444,"Congratulations Miss USA! 
#71stMissUniverse 
#MissUniverseIndonesia 
#missusa2022",congratulation miss usa stmissuniverse missuniverseindonesia missusa
445,USlAyyyyyy👑✨,uslayyyyyy
446,https://t.co/dXT0v5AfY8,http co dxt v afy
447,Miss venezuela supremacy,miss venezuela supremacy
448,La nueva Miss Universo es Miss USA. Momento de tensión y emoción. https://t.co/ZYXksSP1lw,la nueva miss universo e miss usa momento de tensi n emoci n http co zyxkssp lw
449,Miss Universe seems false advertising unless Miss Mars and Miss Mercury are just on their way,miss universe seems false advertising unless miss mar miss mercury way
450,Me hubiera gustado ver a Republica dominicana. No voy a decir que fue armado porque USA lo hizo super bien. Y de nuevo para los que piensan que solo eligen mujeres bellas🙄 El miss universe no solo basta con ser bellas es ser lider y con valores una chica completa. Entiendanlooo!,hubiera gustado ver republica dominicana voy decir que fue armado porque usa lo hizo super bien de nuevo para los que piensan que solo eligen mujeres bellas el miss universe solo basta con ser bellas e ser lider con valores una chica completa entiendanlooo
451,Venezuela deserved to win https://t.co/UuwHT7h2pu,venezuela deserved win http co uuwht h pu
452,Mamense un webo mil veces,mamense un webo mil veces
453,Me siento estafada.,siento estafada
454,??? #MissUniverse2023,missuniverse
455,mamen guevo,mamen guevo
456,🇺🇸,
457,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,
458,https://t.co/aHJ9TmR0te,http co ahj tmr te
459,Háganme el favor y me repiten esa mierda,h ganme el favor repiten esa mierda
460,Ganahan ko sa iyang reaction and vibe ani. Kalma lang pero may dating. Congrats!!! 🤟,ganahan ko sa iyang reaction vibe ani kalma lang pero may dating congrats
461,Rigged,rigged
462,We still won half of the crown tho HAHAHAHA Congrats Miss USA!!!💗,still half crown tho hahahaha congrats miss usa
463,NO💔,
464,"La caraja estaba más perdida que yo en prueba de química, no vale que estafa",la caraja estaba perdida que yo en prueba de qu mica vale que estafa
465,Congrats fil ams,congrats fil am
466,Mas magaling pa magtagalog 😭😭,ma magaling pa magtagalog
467,Cómo que no es rubia blanca de ojos claros!???,c mo que e rubia blanca de ojos claro
468,"La reacción de Miss Kosovo es la reacción de cada persona que estaba mirando éste fraude, menos Yankis obviamente",la reacci n de miss kosovo e la reacci n de cada persona que estaba mirando ste fraude menos yankis obviamente
469,"Arrecho es el hecho de que nadie se le acercó, cuando normalmente todas le caen encima a la ganadora porque se lo merece y están felices por ella, aquí ninguna aunque aplaudieran y demás podían creer lo que estaba pasando",arrecho e el hecho de que nadie se le acerc cuando normalmente toda le caen encima la ganadora porque se lo merece est n felices por ella aqu ninguna aunque aplaudieran dem pod creer lo que estaba pasando
470,we already know who is the real winner https://t.co/Qup9Zhsn8o,already know real winner http co qup zhsn
471,#AmandaDudamel le lleva morocotas a granel a #USA #AmandaEsVenezuela,amandadudamel le lleva morocotas granel usa amandaesvenezuela
472,Tu maldita madre,tu maldita madre
473,Pilipina ang nanalo!!!!!!,pilipina ang nanalo
474,que sorpresa,que sorpresa
475,Te amo Kosovo,te amo kosovo
476,HALF PINAY PA DIN !!!! CONGRATULATIONS USA!!!! 😭😭💕💕,half pinay pa din congratulation usa
477,"I'm excited for her reign❤️
Lezgo R'Bonney❤️ #71stMissUniverse",excited reign lezgo r bonney stmissuniverse
478,Fraud❌️,fraud
479,"Miss Kosovo's reaction...same girl...sameeeee 🥱 #MissUniverse2022 congrats pa rin kay Venezuela, my MU bet",miss kosovo reaction girl sameeeee missuniverse congrats pa rin kay venezuela mu bet
480,Gracias Kosovo. No olvidaremos❤️,gracias kosovo olvidaremos
481,"Nadie se acercó, se llevaron a Amanda DE UNA, la reina saliente ni la abrazó, todas tiesas.

Tell me is not a fraude....",nadie se acerc se llevaron amanda de una la reina saliente ni la abraz toda tiesas tell fraude
482,Soy Kosobo y España.,soy kosobo espa
483,Soy china con spain,soy china con spain
484,re linda igual,linda igual
485,"The crown didn’t stand out talaga pangit kulay , masyadong madaming details that make it look complicated and too small pa compare to previous crowns, anyway sayang si Ms. Vene   https://t.co/DByPMCJHsd",crown stand talaga pangit kulay masyadong madaming detail make look complicated small pa compare previous crown anyway sayang si m vene http co dbypmcjhsd
486,Como mis USA es tía Paola tenía que ganar?,como mi usa e paola ten que ganar
487,"A woman of substance👑🙌

Congratulations @MissUSA R'Bonney Gabriel🤍 #71stMissUniverse

Ang lakas🔥",woman substance congratulation missusa r bonney gabriel stmissuniverse ang lakas
488,"No joda ni ella se lo cree.. alto robo, com ese peinado ya debió estar descalificada ... Fos",joda ni ella se lo cree alto robo com ese peinado ya debi estar descalificada fo
489,nice!,nice
490,parang ayaw pa bitawan ni Venezuela hahahaha,parang ayaw pa bitawan ni venezuela hahahaha
491,la cara de kosovo es la cara de toda latinoamerica después de escuchar el resultado,la cara de kosovo e la cara de toda latinoamerica despu de escuchar el resultado
492,Es que ni ella misma creía que había ganado...,e que ni ella misma cre que hab ganado
493,Las de atrás como... Bueno vamos a fingir para la TV y las de más atrás ni se atrevieron a sonreír,la de atr como bueno vamos fingir para la tv la de atr ni se atrevieron sonre r
494,meu deus assalto em rede mundial,meu deus assalto em rede mundial
495,la reacción de las demás lo dice todo....,la reacci n de la dem lo dice todo
496,Soy España,soy espa
497,la cara de todas mrco NADIE SE CREE ESA VAINA,la cara de toda mrco nadie se cree esa vaina
498,fraud when she won Miss USA and now fraud when she won Miss Universe...,fraud miss usa fraud miss universe
499,Reyna parin ang dugong pinoy..Congrats Miss USA👏🇺🇸🇵🇭,reyna parin ang dugong pinoy congrats miss usa
500,ค่ะ https://t.co/jU2HM5GBHN,http co ju hm gbhn
501,Congrats 🇺🇸 👋👋👋,congrats
502,NOS ROBARON,no robaron
503,theres no way ......,there way
504,Si figuran que la ganadora era Venezuela? Que robo de verdad,si figuran que la ganadora era venezuela que robo de verdad
505,"Korea y Kosovo, un poema que se cuenta solo.",korea kosovo un poema que se cuenta solo
506,"woww hablemos de la cara de sorprendida de USA, no se lo esperaba para nadaaa 😱😱😱(sarcasmo) q cagada",woww hablemos de la cara de sorprendida de usa se lo esperaba para nadaaa sarcasmo q cagada
507,https://t.co/98F6uF8stt,http co f uf stt
508,"While we were watching football, Miss Texas won Miss Universe. And her mother is from Beaumont, which means the Golden Triangle can claim her. Y'all know how much I love my old home slice of the Lone Star state.",watching football miss texas miss universe mother beaumont mean golden triangle claim know much love old home slice lone star state
509,fraude,fraude
510,"ROBOOO, PURA TRAMPAA PURO FRAUDEE",robooo pura trampaa puro fraudee
511,Tremendo atraco 🙄,tremendo atraco
512,CÁLLATE nunca tan indignada,c llate nunca tan indignada
513,Fraud💔,fraud
514,"panalo pa din, half pinay e HAHAHAHA",panalo pa din half pinay e hahahaha
515,she’s chopped,chopped
516,Ni ella se lo creyó,ni ella se lo crey
517,คะ,
518,Los comentarios,los comentarios
519,"Miss 🇺🇸 es #MissUniverse2022 pero para mí era mejor @MissVzla , felicitaciones a @rovegnoalessia por habernos puesto en el top 16 🇵🇪",miss e missuniverse pero para era mejor missvzla felicitaciones rovegnoalessia por habernos puesto en el top
520,¿USA? ¿EN VERDAD? 🤔 WTF,usa en verdad wtf
521,Soy Kosovo,soy kosovo
522,Todos somos Kosovo!,todos somos kosovo
523,Soy la cara de Spain y Kosovo.,soy la cara de spain kosovo
524,"This is how the world works though 😅 , not fair one bit. Things are ways rigged especially competitions , votes etc...",world work though fair one bit thing way rigged especially competition vote etc
525,"Uno se pierde un ratico y pasa toa vaina, jajajaja casi casi",uno se pierde un ratico pasa toa vaina jajajaja casi casi
526,"Congrats, R'Bonney Gabriel! ♥️ #MissUniverse2022 #71stMissUniverse 

Walang magpapa-salon today!! Hahaha 🥲",congrats r bonney gabriel missuniverse stmissuniverse walang magpapa salon today hahaha
527,El momento del robo,el momento del robo
528,mano si no debía ganar venezuela al menos que fuera por alguien q se notara en la competencia 😫😫😫,mano si deb ganar venezuela al menos que fuera por alguien q se notara en la competencia
529,SHE LOOKS LIKE BEA LUIGI GOMEZ PLS VERY PINAY LOOKING SI MIMA 😭🫶,look like bea luigi gomez pls pinay looking si mima
530,"#MissUSA R'Bonney Gabriel FTW!🎉🎊🚀

#MissUniverse2022 #RBonneyGabriel",missusa r bonney gabriel ftw missuniverse rbonneygabriel
531,Ugh. Earth AGAIN? This is Saturn erasure and I won't stand for it.,ugh earth saturn erasure stand
532,Fui Kosovo,fui kosovo
533,Ah bueno vale de acuerdo,ah bueno vale de acuerdo
534,Sin duda soy la reacción de Kosovo,sin duda soy la reacci n de kosovo
535,El momento donde se consumo la estafa NOS ROBARON,el momento donde se consumo la estafa no robaron
536,tia paola,tia paola
537,"It's quite obvious that Miss USA didn't deserve the #MissUniverse2023 crown. #SteveHarvey needs to fix this.

Miss Universe is without a doubt Miss Venezuela. https://t.co/XBbeg3Ksig",quite obvious miss usa deserve missuniverse crown steveharvey need fix miss universe without doubt miss venezuela http co xbbeg ksig
538,"I'm from the US, I think pageants are boring and silly, and I still think this is a completely ridiculous result.",u think pageant boring silly still think completely ridiculous result
539,todos tiezos,todos tiezos
540,"Estoy volviendo a ver el video y la cara de España y Kosovo son un poema, estaban preparadas para aplaudir por Venezuela y cuando nombran a USA bajan los brazos en shock.",estoy volviendo ver el video la cara de espa kosovo son un poema estaban preparadas para aplaudir por venezuela cuando nombran usa bajan los brazos en shock
541,Congratulations @MissUSA !!!,congratulation missusa
542,Kosovo me representó,kosovo represent
543,Quejesto vale?,quejesto vale
544,Un engaño de talla mundial!!!! NOS ROBARON,un enga de talla mundial no robaron
545,"You could choose literally any latin contestants, but this 🤡🤡🤡🤡 Colombia, Venezuela, Perú, Dominican Republic, México  #MissUniverse2022",could choose literally latin contestant colombia venezuela per dominican republic xico missuniverse
546,ayeee!!!!!! lets goo!! lol Filipinos be crushing these events 😂😂,ayeee let goo lol filipino crushing event
547,"Injusto
Mas no voy a dejar de felicitar a @AmandadudameI porque lo dió todo
#AmandaEsVenezuela
Congratulations 🎉🥳🎉🥳🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪",injusto ma voy dejar de felicitar amandadudamei porque lo di todo amandaesvenezuela congratulation
548,Bof Floriane est plus fresh que manzel,bof floriane est plus fresh que manzel
549,Congratulations!!! 👏👑💐,congratulation
550,"Si la venezolana hubiese ganado, se van todas las otras misses a celebrar con ella. A la gringa esa no la querían.",si la venezolana hubiese ganado se van toda la otras miss celebrar con ella la gringa esa la quer
551,&lt;3,lt
552,Hmmm...🤨 https://t.co/aI4LkJa287,hmmm http co ai lkja
553,White House bribed #MissUniverse management,white house bribed missuniverse management
554,Fui la cara de Kosovo,fui la cara de kosovo
555,Nunca espero nada e igual logran decepcionarme 🥲🥲🥲🥲,nunca espero nada e igual logran decepcionarme
556,ESA NO ES FAMILIA MÍA,esa e familia
557,"olha essa cacura feia dessa miss universo pqp, esse coque ridículo nesse cabeção. nunca terá a beleza da miss venezuela",olha essa cacura feia dessa miss universo pqp esse coque rid culo nesse cabe nunca ter beleza da miss venezuela
558,Juro que soy Kosovo atrás,juro que soy kosovo atr
559,callate,callate
560,Le decían icónica a la dueña del Miss Universe que es la misma dueña del Miss USA. Lo icónico es como nos robo ... Asco total 🤮,le dec ic nica la due del miss universe que e la misma due del miss usa lo ic nico e como no robo asco total
561,"A report, a cat called black?",report cat called black
562,"Que TRISTE organización @MissUniverse. NOS ROBARON 😠 ¡Váyanse al CARAJO Yankees de Mi....! 

No les bastó robarnos a CITGO, el oro y el dinero... Ahora también nos roban la corona. 😠

 #AmandaEsVenezuela",que triste organizaci n missuniverse no robaron v yanse al carajo yankee de mi le bast robarnos citgo el oro el dinero ahora tambi n no roban la corona amandaesvenezuela
563,USA es ahora Miss Universo,usa e ahora miss universo
564,"1. Miss USA no lo puede creer.
2. Las caras de mis primas atrás hablan por si solas.
3. Ninguna salió para abrazarla y/o felicitarla.
4. Así te quiero poner chiquita.
5. A los venezolanos nos quieren joder como sea, por dónde sea.

#MissUniverse 🤡",miss usa lo puede creer la caras de mi prima atr hablan por si solas ninguna sali para abrazarla felicitarla te quiero poner chiquita los venezolanos no quieren joder como sea por nde sea missuniverse
565,la manera en que estados unidos se estaba aguantando la risa mientras actuaba nerviosa,la manera en que estados unidos se estaba aguantando la risa mientras actuaba nerviosa
566,Ni ella se lo esperaba eso significa que la que tenía que ganar era Venezuela no tu,ni ella se lo esperaba eso significa que la que ten que ganar era venezuela tu
567,https://t.co/rblCVaZkiS,http co rblcvazkis
568,"Marditos falsos, chorooooooos",marditos falsos chorooooooos
569,Ni usa se lo creía,ni usa se lo cre
570,Congrats kumareng R'Bonney!! Dasurv!!!,congrats kumareng r bonney dasurv
571,oh my god tama na naman hula ko,oh god tama na naman hula ko
572,que asco 🤡💔🤮,que asco
573,Si tú lo dices...,si lo dice
574,PURRRRRRR https://t.co/k4Q2xxhRPH,purrrrrrr http co k q xxhrph
575,❤️,
576,El momento de la mayor tragedia del año,el momento de la mayor tragedia del
577,Hindi man nasungkit ni celeste yung korona atleast may dugong pinoy naman yung nanalo sa MU. BIG CONGRATS MISS UNIVERSE USA👏🎉🎉,hindi man nasungkit ni celeste yung korona atleast may dugong pinoy naman yung nanalo sa mu big congrats miss universe usa
578,"ESTAFADORES.!!!!!!!!!!!
ESTAFADORES !!!!!!!!!
LADRONES DE 💩😡🤬😡💩😡🤬😡💩😡🤬😡💩😡🤬",estafadores estafadores ladrones de
579,#MissUniverse2023 #MissUniverse2022 https://t.co/LEZG9vxOgm,missuniverse missuniverse http co lezg vxogm
580,"MUปีนี่ให้อะไร
- ฟิลิปปินส์ตกรอบแรกในรอบสิบกว่าปี
- ไทยไม่เข้ารอบ2ปีติด
- ให้รางวัลเกี่ยวกับคอนเซ็ปเวทีแต่ไม่ให้เข้ารอบ
- ยูเอสมงแบบค้านสุดๆ นางรองสวยประจักษ์กว่ามาก ตอบคำถามก็เกินเวลา
- อีกอย่างหนึ่งคือเพลงMUหลังๆมานี้เริ่มไม่มีภาพจำละ #MissUniverse2022 https://t.co/7MO5w5dncJ",mu mu missuniverse http co mo w dncj
581,Feliz de haber vivido este momento. Las 2 eran mis favs para ganar. #MissUniverse2023 ❤️,feliz de haber vivido este momento la eran mi favs para ganar missuniverse
582,Si se fijan bien dan la ganadora y sale todo el mundo corriendo le ponen la banda y corre que nos la robamos!!!!,si se fijan bien dan la ganadora sale todo el mundo corriendo le ponen la banda corre que no la robamos
583,Mi fav era Polonia. Y hubiera preferido que se lo den a Camboya o hasta Guatemala. Para mi ésto está arreglado. #MissUniverse,mi fav era polonia hubiera preferido que se lo den camboya hasta guatemala para mi sto est arreglado missuniverse
584,Roboooooooo !!! Ni la misma USA podía creerlo ! NMJ,roboooooooo ni la misma usa pod creerlo nmj
585,"USA COMPRÓ ESOS PREMIOS, TENGO 0 DUDAS ‼️❗‼️❗‼️❗‼️❗‼️❗",usa compr esos premios tengo dudas
586,DOLERA TODO LA VIDA,dolera todo la vida
587,"Os eua fraudam até miss universo cara, onde essa   dos eua é mais bonita que a venezuelana kkkkk mano eles são muito ridiculos, venezuela roubada na cara dura",o eua fraudam miss universo cara onde essa do eua mais bonita que venezuelana kkkkk mano eles muito ridiculos venezuela roubada na cara dura
588,Soy kosovo,soy kosovo
589,?????????????????????,
590,LAS REACCIONES,la reacciones
591,USA????,usa
592,Shame,shame
593,🤔😑,
594,Miren a las concursantes de atrás 👀,miren la concursantes de atr
595,Booooo!,booooo
596,🤡,
597,"Ni se le acercaron a celebrar
¿Por qué? 
Porque 
FUE UN PUTO ROBO
#MissUniverse2022",ni se le acercaron celebrar por qu porque fue un puto robo missuniverse
598,Ni ella se lo creía 🤡,ni ella se lo cre
599,CONGRATULATIONS MISS USA OUR MISS UNIVERSE 🙌💋,congratulation miss usa miss universe
600,https://t.co/U39TBp09jX,http co u tbp jx
601,Ni ella se lo creía. 🤦🏻‍♀️,ni ella se lo cre
602,amigo me da risa como todo el mundo quedó modo ?????,amigo da risa como todo el mundo qued modo
603,"La de USA fingiendo sorpresa cuando ella claramente ya sabía que iba a ganar en su propio país, cuando la dueña del Miss Universo la apoyaba en un 100% y pasando a todas las etapas cuando claramente otras se lo tenían merecido, para al final robar una corona #MissUniverso",la de usa fingiendo sorpresa cuando ella claramente ya sab que iba ganar en su propio pa cuando la due del miss universo la apoyaba en un pasando toda la etapas cuando claramente otras se lo ten merecido para al final robar una corona missuniverso
604,Que coño de la paso..?,que co de la paso
605,Aye reppin the H 🤘🏼,aye reppin h
606,Filipino! Filipino! Filipino!,filipino filipino filipino
607,Ni ella se lo creía,ni ella se lo cre
608,Robo totaaal,robo totaaal
609,Até Miss Universo é pra roubarem xeeee,miss universo pra roubarem xeeee
610,So may 4 and a half Miss Universe crown tayo in total! Lols 🤣 Congrats R'Bonney Gabriel! 🇺🇸🇵🇭✨,may half miss universe crown tayo total lols congrats r bonney gabriel
611,ay como van a ganar los retrasados unidos NO MERECEN,ay como van ganar los retrasados unidos merecen
612,This is Anti-Latina! Recount the votes,anti latina recount vote
613,"Ni ella se lo creía, que descaro.",ni ella se lo cre que descaro
614,La cara de Miss Kosovo... https://t.co/YQZvDllFhl,la cara de miss kosovo http co yqzvdllfhl
615,"Well deserve!!! Congrats rbonney!!! UC wan tausen, si yu in Indonesiaaaa",well deserve congrats rbonney uc wan tausen si yu indonesiaaaa
616,Sinceramente...,sinceramente
617,Ofc we all expected this,ofc expected
618,Si crush Miss USA basta my dugong pinoy tlga maganda 😍,si crush miss usa basta dugong pinoy tlga maganda
